District/School IRN,District/School Name,School Year,Org Type,Core Curriculum/Intervention,Reported Grades,Status,Reported Material Type,DEW Approved Material Type,DEW Approved Grades
047639,Lynchburg-Clay Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047639,Lynchburg-Clay Local,2024–2025,Public District,Wonders 2020 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
049445,Lucas Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
049445,Lucas Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,ELA Core,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Other published instr materials not on Dept list,03 - 05,Implemented,ELA Core,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 02,Implemented,ELA Core,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Other published instr materials not on Dept list,03 - 05,Implemented,Reading Intervention,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Other published instr materials not on Dept list,03 - 07,Implemented,Reading Intervention,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 03,Implemented,Reading Intervention,N/A,N/A
049445,Lucas Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 01,Implemented,ELA Core,ELA Core,03 - 05
048330,Lowellville Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044271,Loveland City,2024–2025,Public District,Being a Reader (Center for the Collaborative Classroom),KG - 02,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 03
044271,Loveland City,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),03 - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
044271,Loveland City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - KG,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044271,Loveland City,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 08,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044271,Loveland City,2024–2025,Public District,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044271,Loveland City,2024–2025,Public District,OUR Bookworms K-5 Reading & Writing (Open Up Resources),05 - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
049874,Louisville City,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
049874,Louisville City,2024–2025,Public District,Benchmark Phonics (Benchmark Education),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
049874,Louisville City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
049874,Louisville City,2024–2025,Public District,Fundations (Wilson Language Training),PS - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049874,Louisville City,2024–2025,Public District,Fundations (Wilson Language Training),03 - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049874,Louisville City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 06,Implemented,Reading Intervention,N/A,N/A
049874,Louisville City,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Reading Intervention,N/A,N/A
049874,Louisville City,2024–2025,Public District,Other published instr materials not on Dept list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
049874,Louisville City,2024–2025,Public District,Other published instr materials not on Dept list,KG - 05,Implemented,ELA Core,N/A,N/A
049874,Louisville City,2024–2025,Public District,PreK On My Way (Scholastic),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
045468,Loudonville-Perrysville Exempted Village,2024–2025,Public District,Imagine Learning EL Education (Imagine Learning),03 - 08,Implemented,Reading Intervention,ELA Core,KG - 05
045468,Loudonville-Perrysville Exempted Village,2024–2025,Public District,Imagine Learning EL Education (Imagine Learning),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 05
045468,Loudonville-Perrysville Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,ELA Core,N/A,N/A
045468,Loudonville-Perrysville Exempted Village,2024–2025,Public District,Wonders 2020 (McGraw Hill),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
050203,Lordstown Local,2024–2025,Public District,Blast Foundations (Really Great Reading),01 - 01,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
050203,Lordstown Local,2024–2025,Public District,Countdown (Really Great Reading),KG - KG,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
050203,Lordstown Local,2024–2025,Public District,HD Word (Really Great Reading),02 - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
050203,Lordstown Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),07 - 10,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050203,Lordstown Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 06,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050203,Lordstown Local,2024–2025,Public District,OUR Bookworms K-5 Reading & Writing (Open Up Resources),KG - 03,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
020186,Lorain Preparatory High School,2024–2025,Community School,Savvas Essentials: Foundational Reading (Savvas),09 - 12,Implemented,ELA Core,ELA Core,KG - 02
008000,Lorain Preparatory Academy,2024–2025,Community School,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
008000,Lorain Preparatory Academy,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 08,Implemented,ELA Core,ELA Core,KG - 05
008000,Lorain Preparatory Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,04 - 08,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
008000,Lorain Preparatory Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
008000,Lorain Preparatory Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
051227,Lorain County Jvs,2024–2025,Joint Vocational School District,Locally created instruction,09 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044263,Lorain City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Reading Intervention,PreK Core,PS - PS
044263,Lorain City,2024–2025,Public District,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
044263,Lorain City,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 05,Implemented,ELA Core,ELA Core,KG - 05
017270,Lorain Bilingual Preparatory Academy,2024–2025,Community School,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
017270,Lorain Bilingual Preparatory Academy,2024–2025,Community School,Other published instr materials not on Dept list,06 - 08,Implemented,ELA Core,N/A,N/A
017270,Lorain Bilingual Preparatory Academy,2024–2025,Community School,Wonders 2023 (McGraw Hill),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
044255,London City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044248,Logan-Hocking Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044248,Logan-Hocking Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 08,Implemented,Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 06,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,Other published instr materials not on Dept list,05 - 08,Implemented,Reading Intervention,N/A,N/A
044248,Logan-Hocking Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049080,Logan Elm Local,2024–2025,Public District,PreK On My Way (Scholastic),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
049080,Logan Elm Local,2024–2025,Public District,"Reading Horizons Discovery (HEC Software, Inc.)",KG - 02,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
049080,Logan Elm Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 05,Implemented,ELA Core,ELA Core,03 - 05
044230,Lockland Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),02 - 03,Implemented,ELA Core,ELA Core,KG - 02
044230,Lockland Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044230,Lockland Local,2024–2025,Public District,Blast Foundations (Really Great Reading),01 - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
044230,Lockland Local,2024–2025,Public District,Countdown (Really Great Reading),KG - 01,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
044230,Lockland Local,2024–2025,Public District,HD Word (Really Great Reading),02 - 06,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
044230,Lockland Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044230,Lockland Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
044230,Lockland Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 06,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050443,Little Miami Local,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
050443,Little Miami Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050443,Little Miami Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045450,Lisbon Exempted Village,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045450,Lisbon Exempted Village,2024–2025,Public District,Fundations (Wilson Language Training),04 - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045450,Lisbon Exempted Village,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",03 - 05,Implemented,ELA Core,ELA Core,KG - 05
045450,Lisbon Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 05,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045450,Lisbon Exempted Village,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 08,Implemented,ELA Core,N/A,N/A
045450,Lisbon Exempted Village,2024–2025,Public District,Other published instr materials not on Dept list,09 - 12,Implemented,ELA Core,N/A,N/A
045450,Lisbon Exempted Village,2024–2025,Public District,PreK On My Way (Scholastic),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
045450,Lisbon Exempted Village,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 02,Implemented,ELA Core,ELA Core,KG - 05
050369,Lincolnview Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050369,Lincolnview Local,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
050369,Lincolnview Local,2024–2025,Public District,PreK On My Way (Scholastic),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
014065,Lincoln Park Academy,2024–2025,Community School,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
014065,Lincoln Park Academy,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
014065,Lincoln Park Academy,2024–2025,Community School,Lexia Core 5 Reading (Lexia),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
014065,Lincoln Park Academy,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
021547,Linc Academy Columbus,2024–2025,Community School,Fishtank Plus ELA K-2 2021 (Fishtank Learning),KG - 02,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
044222,Lima City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 04,Implemented,Reading Intervention,ELA Core,KG - 02
044222,Lima City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044222,Lima City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
044222,Lima City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
044222,Lima City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 06,Implemented,Reading Intervention,N/A,N/A
044222,Lima City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048017,Licking Valley Local,2024–2025,Public District,ARC Core (American Reading Company),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
048017,Licking Valley Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),03 - 05,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
048017,Licking Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 08,Implemented,Reading Intervention,N/A,N/A
048017,Licking Valley Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
047977,Licking Regional Educational Service Center,2024–2025,Educational Service Center,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
048009,Licking Heights Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048009,Licking Heights Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
048009,Licking Heights Local,2024–2025,Public District,Wit & Wisdom (Great Minds),KG - 06,Implemented,ELA Core,ELA Core,03 - 05
047449,Liberty-Benton Local,2024–2025,Public District,HMH Into Reading 2020 (Houghton Mifflin Harcourt),05 - 05,Implemented,ELA Core,ELA Core,KG - 05
047449,Liberty-Benton Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
047449,Liberty-Benton Local,2024–2025,Public District,Wonders 2020 (McGraw Hill),KG - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
046888,Liberty Union-Thurston Local,2024–2025,Public District,Fundations (Wilson Language Training),KG - 04,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
013962,Liberty Preparatory School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,ELA Core,N/A,N/A
050195,Liberty Local,2024–2025,Public District,Blast Foundations (Really Great Reading),01 - 01,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
050195,Liberty Local,2024–2025,Public District,Blast Foundations (Really Great Reading),01 - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,01 - 01
050195,Liberty Local,2024–2025,Public District,Countdown (Really Great Reading),PS - KG,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
050195,Liberty Local,2024–2025,Public District,Countdown (Really Great Reading),KG - 01,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - KG
050195,Liberty Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
050195,Liberty Local,2024–2025,Public District,HD Word (Really Great Reading),02 - 02,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
050195,Liberty Local,2024–2025,Public District,HD Word (Really Great Reading),02 - 06,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
050195,Liberty Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050195,Liberty Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 10,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050195,Liberty Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 06,Implemented,ELA Core,N/A,N/A
050195,Liberty Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - PS,Implemented,ELA Core,N/A,N/A
050195,Liberty Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,Reading Intervention,N/A,N/A
047589,Liberty Center Local,2024–2025,Public District,ARC Core (American Reading Company),KG - 04,Implemented,ELA Core,ELA Core,KG - 05
047589,Liberty Center Local,2024–2025,Public District,Fishtank Plus ELA 2021 (Fishtank Learning),05 - 05,Implemented,ELA Core,ELA Core,03 - 05
047589,Liberty Center Local,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049437,Lexington Local,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),PS - PS,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
049437,Lexington Local,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),PS - 04,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
049437,Lexington Local,2024–2025,Public District,Foundations A-Z (Learning A-Z),PS - 03,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
049437,Lexington Local,2024–2025,Public District,PreK On My Way (Scholastic),PS - PS,Implemented,ELA Core,PreK Core,PS - PS
049353,Leipsic Local,2024–2025,Public District,Locally created instruction,07 - 12,Implemented,Reading Intervention,N/A,N/A
049353,Leipsic Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
021442,Legacy Academy Of Excellence Mansfield,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
020091,Legacy Academy Of Excellence,2024–2025,Community School,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
045443,Leetonia Exempted Village School District,2024–2025,Public District,Foundations A-Z (Learning A-Z),KG - 05,Implemented,Reading Intervention,ELA Core,KG - 02
045443,Leetonia Exempted Village School District,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
045443,Leetonia Exempted Village School District,2024–2025,Public District,"MyView Literacy (Savvas Learning Company, formerly Pearson)",KG - 10,Implemented,ELA Core,ELA Core,KG - 05
045443,Leetonia Exempted Village School District,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Reading Intervention,N/A,N/A
045443,Leetonia Exempted Village School District,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
044214,Lebanon City,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
044214,Lebanon City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 03,Implemented,ELA Core,Both ELA Core and Reading Intervention,KG - 02
044214,Lebanon City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 03,Implemented,ELA Core,N/A,N/A
044214,Lebanon City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Reading Intervention,N/A,N/A
044214,Lebanon City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 02,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044206,Lancaster City,2024–2025,Public District,95 Phonics Core Program (95 Percent Group),KG - 05,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 02
044206,Lancaster City,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 08,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044206,Lancaster City,2024–2025,Public District,Other published instr materials incl on Dept approved list,04 - 05,Implemented,Reading Intervention,N/A,N/A
044206,Lancaster City,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 08,Implemented,Reading Intervention,N/A,N/A
044206,Lancaster City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 05,Implemented,Reading Intervention,N/A,N/A
044206,Lancaster City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
044206,Lancaster City,2024–2025,Public District,OUR EL Education K-5 Language Arts (Open Up Resources),KG - 08,Implemented,ELA Core,ELA Core,KG - 05
049569,Lakota Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),05 - 08,Implemented,ELA Core,ELA Core,KG - 05
049569,Lakota Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
049569,Lakota Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 08,Implemented,Reading Intervention,N/A,N/A
049569,Lakota Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Reading Intervention,N/A,N/A
049569,Lakota Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 04,Implemented,Reading Intervention,N/A,N/A
049569,Lakota Local,2024–2025,Public District,Other published instr materials not on Dept list,09 - 12,Implemented,ELA Core,N/A,N/A
049569,Lakota Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 04,Implemented,ELA Core,ELA Core,KG - 05
047993,Lakewood Local,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
047993,Lakewood Local,2024–2025,Public District,"Creative Curriculum (Teaching Strategies, LLC)",PS - PS,Implemented,ELA Core,PreK Core,PS - PS
047993,Lakewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,06 - 12,Implemented,ELA Core,N/A,N/A
047993,Lakewood Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,PS - 12,Implemented,Reading Intervention,N/A,N/A
044198,Lakewood City,2024–2025,Public District,Amplify CKLA K-5 Core Comprehensive (Amplify),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
044198,Lakewood City,2024–2025,Public District,Fundations (Wilson Language Training),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
044198,Lakewood City,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 12,Implemented,Reading Intervention,N/A,N/A
044198,Lakewood City,2024–2025,Public District,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 05,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050187,Lakeview Local,2024–2025,Public District,HD Word (Really Great Reading),05 - 07,Implemented,Reading Intervention,Both ELA Core and Reading Intervention,02 - 02
050187,Lakeview Local,2024–2025,Public District,Lexia Core 5 Reading (Lexia),KG - 04,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
050187,Lakeview Local,2024–2025,Public District,Locally created instruction,05 - 07,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050187,Lakeview Local,2024–2025,Public District,Locally created instruction,KG - 04,Implemented,ELA Core,N/A,N/A
050187,Lakeview Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,05 - 07,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050187,Lakeview Local,2024–2025,Public District,Other published instr materials not on Dept list,05 - 07,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050187,Lakeview Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 02,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050187,Lakeview Local,2024–2025,Public District,Other published instr materials not on Dept list,KG - 04,Implemented,Reading Intervention,N/A,N/A
011511,Lakeland Academy Community School,2024–2025,Community School,Other published instr materials incl on Dept approved list,05 - 08,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
011511,Lakeland Academy Community School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
011511,Lakeland Academy Community School,2024–2025,Community School,UFLI Foundations: An Explicit and Systematic Phonics Program (Ventris Learning/ULFI),KG - 04,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
049866,Lake Local,2024–2025,Public District,Benchmark Advance or Literacy (Benchmark Education),KG - 05,Implemented,ELA Core,ELA Core,KG - 05
049866,Lake Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,KG - 08,Implemented,Reading Intervention,N/A,N/A
050690,Lake Local,2024–2025,Public District,Frog Street Threes and/or Frog Street PreK (FrogStreet),PS - PS,Implemented,Both ELA Core and Reading Intervention,PreK Core,PS - PS
050690,Lake Local,2024–2025,Public District,Other published instr materials incl on Dept approved list,07 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
050690,Lake Local,2024–2025,Public District,Wonders 2023 (McGraw Hill),KG - 06,Implemented,Both ELA Core and Reading Intervention,ELA Core,KG - 05
013132,Lake Erie Preparatory School,2024–2025,Community School,Fundations (Wilson Language Training),KG - 08,Implemented,Both ELA Core and Reading Intervention,Both ELA Core and Reading Intervention,KG - 02
013132,Lake Erie Preparatory School,2024–2025,Community School,HMH Into Reading 2020 (Houghton Mifflin Harcourt),KG - 04,Implemented,ELA Core,ELA Core,KG - 05
151183,Lake Erie International High School,2024–2025,Community School,Other published instr materials incl on Dept approved list,09 - 12,Implemented,Both ELA Core and Reading Intervention,N/A,N/A
